Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2668.0;3792.2;0.019674807599126386;sift;2668.0;3792.2;0.018804804779652302;l2;bf;433.8;1037.4;0.1729379442;0.1754028713210407;2.433732506084982;0.16259370314842575;0.3505912150258084;0.16259370314842575;0.2209798733814344
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2668.0;3792.2;0.019674807599126386;brisk;2508.0;3570.6;0.008410326296973986;l2;bf;144.0;773.6;0.1507286686;0.19773191534878196;4.064889070316347;0.053973013493253376;0.15962939349504607;0.053973013493253376;0.08051654414638251
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2668.0;3792.2;0.019674807599126386;daisy;2668.0;3792.2;0.021178302340351878;l2;bf;306.6;676.4;0.19681086180000001;0.3407196476745204;3.0067735619522855;0.11491754122938529;0.340500261804238;0.11491754122938529;0.16943475403895972
sift;2668.0;3792.2;0.019674807599126386;freak;2378.0;3373.8;0.004896833657192779;l2;bf;121.8;711.4;0.13408373980000002;0.1898804138729736;3.7676174812009906;0.04565217391304348;0.15202998850455385;0.04565217391304348;0.07012957135141076
sift;2668.0;3792.2;0.019674807599126386;brief;2297.0;3279.0;0.0020428604385820145;l2;bf;75.2;1022.0;0.10204083179999998;0.09965655741828695;2.3439683230241153;0.02818590704647676;0.07465576534684863;0.02818590704647676;0.04090973716654274
sift;2668.0;3792.2;0.019674807599126386;lucid;2668.0;3792.2;0.003577166851009708;l2;bf;47.0;998.4;0.18010124519999998;0.1807023052636067;4.266919263759019;0.017616191904047975;0.04668978670543715;0.017616191904047975;0.02557340414798006
sift;2668.0;3792.2;0.019674807599126386;latch;2350.0;3339.0;0.0011003650231347123;l2;bf;46.8;1336.6;0.09132526960000001;0.0682593326673773;1.9820989105247597;0.017541229385307347;0.03525491917664535;0.017541229385307347;0.02340650337182857
sift;2668.0;3792.2;0.019674807599126386;vgg;2668.0;3792.2;0.05819415342204156;l2;bf;332.2;1060.6;0.31980780480000004;0.31226256344410075;5.956604236124447;0.1245127436281859;0.2713025526376609;0.1245127436281859;0.17019235651204048
sift;2668.0;3792.2;0.019674807599126386;beblid;2668.0;3792.2;0.0013425714107351337;l2;bf;178.0;965.6;0.1404400586;0.14612648993609129;2.801185815868084;0.06671664167916042;0.17110748211022714;0.06671664167916042;0.09589945928100908
sift;2668.0;3792.2;0.019674807599126386;teblid;2668.0;3792.2;0.0005759927403700996;l2;bf;108.4;1084.8;0.10797055419999999;0.09943287134965764;2.423935487506857;0.04062968515742129;0.0965523650879628;0.04062968515742129;0.057173985478807435
sift;2668.0;3792.2;0.019674807599126386;boost;2668.0;3792.2;0.010374113070642538;l2;bf;187.4;991.2;0.139493783;0.1423819939714302;3.1278807497574497;0.07023988005997;0.1702815719253685;0.07023988005997;0.09930363360326558
akaze;2419.0;2579.8;0.02176077136735275;sift;2419.0;2579.8;0.009082699644593769;l2;bf;529.2;882.2;0.0999223008;0.12966832571058623;1.2365204856731675;0.2187680859859446;0.4682042541843969;0.2189432686300717;0.29395101127253137
akaze;2419.0;2579.8;0.02176077136735275;akaze;2419.0;2579.8;0.01820438726159811;l2;bf;305.4;930.4;0.13062809420000002;0.14462857967243906;2.1105838361664504;0.12625051674245558;0.2742821322117317;0.1264747505269383;0.1721093991780279
akaze;2419.0;2579.8;0.02176077136735275;orb;2407.0;2563.4;0.002317518078873453;l2;bf;123.4;794.4;0.0856080024;0.10903887090957702;2.28873622717002;0.0510128152128979;0.13710818490561003;0.05120901977432026;0.07422821610966066
