k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;sift;2668.0;3065.0;0.065936217;0.021512631973898858;l2;bf;1122.0;1401.0;0.028640636;0.16631052699999999;0.11870844182726623;0.14822685115864528;0.4205397301349325;0.8008565310492506;0.4205397301349325;0.5514868518063406
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;brisk;2508.0;2906.0;0.02330809;0.008020677907777014;l2;bf;597.0;948.0;0.041520023;0.136561787;0.14405251793248944;0.2287467118927973;0.22376311844077962;0.629746835443038;0.22376311844077962;0.33019911504424787
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;daisy;2668.0;3065.0;0.075810331;0.02473420261011419;l2;bf;875.0;1120.0;0.037212724;0.18475672899999998;0.1649613651785714;0.2111505474285714;0.32796101949025486;0.78125;0.32796101949025486;0.4619852164730728
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;freak;2378.0;2737.0;0.013830972;0.0050533328461819516;l2;bf;487.0;838.0;0.04243027;0.127994916;0.15273856324582338;0.2628232361396303;0.1825337331334333;0.581145584725537;0.1825337331334333;0.2778094694808899
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;brief;2297.0;2670.0;0.005389948;0.002018707116104869;l2;bf;229.0;995.0;0.022742033;0.099865655;0.10036749246231155;0.43609456331877733;0.08583208395802099;0.23015075376884422;0.08583208395802099;0.12503412503412503
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;lucid;2668.0;3065.0;0.011416204;0.0037246995106035886;l2;bf;49.0;1029.0;0.077704886;0.16085476399999998;0.15632144217687072;3.282750285714285;0.018365817091454274;0.047619047619047616;0.018365817091454274;0.026507979442791457
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;latch;2350.0;2717.0;0.003003213;0.0011053415531836585;l2;bf;47.0;1228.0;0.012166136;0.086903023;0.07076793403908795;1.849000489361702;0.017616191904047975;0.038273615635179156;0.017616191904047975;0.02412731006160164
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;vgg;2668.0;3065.0;0.175731685;0.057334970636215336;l2;bf;922.0;1347.0;0.042375216;0.289840575;0.2151748886414254;0.31436071041214747;0.34557721139430286;0.6844840386043058;0.34557721139430286;0.45927770859277706
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;beblid;2668.0;3065.0;0.004272904;0.0013940959216965742;l2;bf;606.0;1095.0;0.055816263;0.131822841;0.12038615616438356;0.21752944059405938;0.22713643178410794;0.5534246575342465;0.22713643178410794;0.3220834440605899
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;teblid;2668.0;3065.0;0.001662519;0.0005424205546492659;l2;bf;393.0;1142.0;0.031059251;0.104455444;0.09146711383537653;0.26578993384223915;0.14730134932533734;0.34413309982486867;0.14730134932533734;0.2062992125984252
0;sift;2668.0;3065.0;0.071733674;0.02340413507340946;boost;2668.0;3065.0;0.026175566;0.008540152039151714;l2;bf;648.0;1167.0;0.025621382;0.12353062199999999;0.10585314652956297;0.19063367592592592;0.24287856071964017;0.5552699228791774;0.24287856071964017;0.33794002607561924
