k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;sift;10324.0;11052.0;0.093689731;0.008477174357582338;l2;bf;5617.0;6285.0;0.250781212;0.44036676099999994;0.07006631042163881;0.07839892487092753;0.54407206509105;0.8937151949085124;0.54407206509105;0.6763802757541092
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;brisk;9845.0;10660.0;0.085352509;0.008006801969981237;l2;bf;3530.0;4356.0;0.38987893;0.571127257;0.13111277708907254;0.16179242407932012;0.34192173576133283;0.810376492194674;0.34192173576133283;0.4809264305177112
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;daisy;10324.0;11052.0;0.109218916;0.009882276149113281;l2;bf;5239.0;5472.0;0.366712062;0.571826796;0.10450051096491228;0.10914808093147546;0.5074583494769469;0.9574195906432749;0.5074583494769469;0.6633324892377818
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;freak;9493.0;10326.0;0.056376048;0.005459621150493899;l2;bf;2307.0;3387.0;0.424364673;0.576636539;0.170249937702982;0.24995081881231035;0.2234598992638512;0.6811337466784765;0.2234598992638512;0.336518124133907
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;brief;9241.0;10045.0;0.021284157;0.002118880736684918;l2;bf;1271.0;4098.0;0.134890135;0.25207011;0.06151051976573939;0.19832424075531077;0.12311119721038358;0.31015129331381164;0.12311119721038358;0.17625849396754958
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;lucid;10324.0;11052.0;0.038092459;0.003446657528049222;l2;bf;66.0;2571.0;0.90480342;1.038791697;0.40404188914819134;15.739268136363636;0.006392870980240217;0.025670945157526253;0.006392870980240217;0.010236525785188057
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;latch;9357.0;10182.0;0.008771253;0.0008614469652327636;l2;bf;87.0;4678.0;0.052180362;0.156847433;0.033528737280889266;1.8028440574712645;0.008426966292134831;0.018597691321077383;0.008426966292134831;0.011598453539528063
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;vgg;10324.0;11052.0;0.626835407;0.05671692064784654;l2;bf;5426.0;6236.0;0.165072209;0.887803434;0.14236745253367541;0.16362024216734242;0.5255714839209609;0.8701090442591405;0.5255714839209609;0.6553140096618357
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;beblid;10324.0;11052.0;0.00804913;0.000728296235975389;l2;bf;1747.0;3626.0;0.58004294;0.683987888;0.18863427688913403;0.3915214012593016;0.16921735761332818;0.4817981246552675;0.16921735761332818;0.25046594982078857
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;teblid;10324.0;11052.0;0.006121927;0.0005539202859211002;l2;bf;659.0;3709.0;0.227108418;0.32912616299999997;0.08873716985710434;0.4994327207890743;0.06383184812088338;0.1776759234294958;0.06383184812088338;0.0939214708187843
0;sift;10324.0;11052.0;0.095895818;0.008676784111473037;boost;10324.0;11052.0;0.107732102;0.009747747195077814;l2;bf;1833.0;4050.0;0.361508559;0.565136479;0.13953987135802468;0.3083123180578287;0.1775474622239442;0.4525925925925926;0.1775474622239442;0.2550438291359399
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;sift;3753.0;3384.0;0.0262205;0.007748374704491726;l2;bf;2412.0;2463.0;0.040078199;0.14238736400000002;0.05781054161591556;0.05903290381426203;0.6426858513189448;0.9792935444579781;0.7127659574468085;0.7760617760617761
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;akaze;3753.0;3384.0;0.058730008;0.01735520330969267;l2;bf;1783.0;2103.0;0.061747364;0.196566037;0.0934693471231574;0.11024455243970835;0.47508659738875564;0.8478364241559677;0.5268912529550828;0.6089480874316939
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;orb;3723.0;3359.0;0.007505046;0.00223430961595713;l2;bf;1032.0;1614.0;0.062891451;0.146485162;0.09075908426270136;0.14194298643410855;0.2749800159872102;0.6394052044609665;0.3049645390070922;0.38457238680827277
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;brisk;3753.0;3384.0;0.027393711;0.008095068262411348;l2;bf;1742.0;1988.0;0.064049915;0.167532291;0.08427177615694165;0.09617238289322617;0.46416200373034905;0.8762575452716298;0.514775413711584;0.6068629158683156
0;akaze;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;daisy;3753.0;3384.0;0.09318702;0.027537535460992905;l2;bf;2652.0;2678.0;0.05398506;0.223260745;0.08336846340552652;0.08418580128205129;0.706634692246203;0.9902912621359223;0.7836879432624113;0.8247550925206033
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;freak;3753.0;3384.0;0.016624986;0.004912820921985816;l2;bf;951.0;1446.0;0.097789864;0.190503515;0.13174516943291842;0.2003191535226078;0.2533972821742606;0.6576763485477178;0.28102836879432624;0.3658395845354876
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;brief;3753.0;3384.0;0.007396806;0.002185817375886525;l2;bf;636.0;1544.0;0.037496864;0.120982335;0.07835643458549221;0.1902237971698113;0.16946442845723422;0.4119170984455959;0.1879432624113475;0.2401359259958467
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;lucid;3753.0;3384.0;0.013693317;0.0040464884751773055;l2;bf;35.0;1113.0;0.113282521;0.203064503;0.18244789128481584;5.801842942857143;0.009325872635225153;0.031446540880503145;0.010342789598108746;0.014385532264693792
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;latch;3753.0;3384.0;0.003693097;0.001091340721040189;l2;bf;40.0;1752.0;0.015399475;0.095181237;0.05432719006849315;2.379530925;0.010658140154543033;0.0228310502283105;0.01182033096926714;0.014532243415077202
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;vgg;3753.0;3384.0;0.191585494;0.05661509869976359;l2;bf;2396.0;2491.0;0.025806282;0.29348044100000004;0.11781631513448415;0.12248766318864775;0.6384225952571276;0.9618627057406663;0.7080378250591016;0.7674567584881485
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;beblid;3753.0;3384.0;0.004164208;0.0012305579196217494;l2;bf;1252.0;1657.0;0.080128726;0.16038159899999999;0.0967903433916717;0.12810031869009586;0.33359978683719693;0.7555823777911889;0.36997635933806144;0.46284658040665444
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;teblid;3753.0;3384.0;0.002198268;0.0006496063829787234;l2;bf;640.0;1458.0;0.081660789;0.15994772200000001;0.10970351303155008;0.249918315625;0.17053024247268853;0.438957475994513;0.18912529550827423;0.245634235271541
