Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2492.0;1630.0;0.046622674942432704;sift;2492.0;1630.0;0.0447096750288415;l2;bf;802.6;961.0;0.16352220380000002;0.17993138358042787;0.22483494995755007;0.32207062600321024;0.8201283748206081;0.48081976659566433;0.45707905783057007
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1630.0;0.046622674942432704;brisk;2315.0;1501.2;0.009265410221928469;l2;bf;388.4;772.8;0.11635650420000002;0.15797273375562054;0.4233611555912809;0.1558587479935795;0.45728383811100803;0.2189213436551328;0.22996444021434947
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1630.0;0.046622674942432704;daisy;2492.0;1630.0;0.04920671861345102;l2;bf;339.8;478.0;0.1737995026;0.475729148063496;0.9696998406305856;0.13635634028892457;0.6085468277041036;0.1850693377649833;0.21410313938996475
sift;2492.0;1630.0;0.046622674942432704;freak;2199.0;1387.4;0.005235216505825535;l2;bf;245.8;638.2;0.1050596256;0.17396288528533785;0.8534334978402868;0.09863563402889246;0.3271076688590965;0.13196702094545623;0.1501878428897364
sift;2492.0;1630.0;0.046622674942432704;brief;2110.0;1323.2;0.0023351388258164717;l2;bf;167.4;724.6;0.0925507038;0.13010020143429507;1.5681955139570032;0.06717495987158908;0.19612257466508343;0.08645250882502244;0.09969808684687621
sift;2492.0;1630.0;0.046622674942432704;lucid;2492.0;1630.0;0.00412098025125063;l2;bf;26.0;421.2;0.12471402940000002;0.31306909115167186;4.972820733998458;0.01043338683788122;0.06280183893802495;0.015968419405116247;0.01772517273981016
sift;2492.0;1630.0;0.046622674942432704;latch;2165.0;1357.4;0.0013380533704517533;l2;bf;76.2;828.0;0.08430298839999999;0.10363757862750685;2.0473076686140828;0.03057784911717496;0.08353820630282552;0.04187454164722805;0.04455910892473165
sift;2492.0;1630.0;0.046622674942432704;vgg;2492.0;1630.0;0.06079838603621128;l2;bf;612.6;880.0;0.18865414;0.22960577195240414;0.4274846600404888;0.24582664526484752;0.6361494834446269;0.3474305593303534;0.3486765014107858
sift;2492.0;1630.0;0.046622674942432704;beblid;2492.0;1630.0;0.0016316713095755827;l2;bf;455.8;776.0;0.11828217319999998;0.1562135828419354;0.29895718386483167;0.18290529695024077;0.5638156204782663;0.26827382640387165;0.2743839047471606
sift;2492.0;1630.0;0.046622674942432704;teblid;2492.0;1630.0;0.0009641733293230808;l2;bf;246.6;736.2;0.09616864219999999;0.13424340177647756;0.4882408115791092;0.09895666131621188;0.3157310198697401;0.14268478201476115;0.14976449434523037
sift;2492.0;1630.0;0.046622674942432704;boost;2492.0;1630.0;0.012963473661423714;l2;bf;446.0;797.4;0.1104753748;0.14622186203883958;0.31063765665998133;0.17897271268057785;0.5285124443977827;0.2590064318108213;0.26476718991763565
akaze;1507.0;743.8;0.08645863733353046;sift;1507.0;743.8;0.03020189740858358;l2;bf;569.6;597.0;0.0881017302;0.1655842397042378;0.17753588742771642;0.3779694757796948;0.943419459760506;0.7486335810439539;0.5261941085562423
akaze;1507.0;743.8;0.08645863733353046;akaze;1507.0;743.8;0.07515999575295487;l2;bf;529.4;575.0;0.1185328176;0.22997121517886265;0.2612835667312397;0.35129396151293957;0.902033186045449;0.6929716654642142;0.49430100174902136
akaze;1507.0;743.8;0.08645863733353046;orb;1500.0;736.2;0.005906258908347445;l2;bf;307.0;469.6;0.0722134076;0.172205208938396;0.33262493763013107;0.20371599203715993;0.5940728291803141;0.3751690842116357;0.29646424343892175
akaze;1507.0;743.8;0.08645863733353046;brisk;1507.0;743.8;0.00939042341579456;l2;bf;465.8;526.0;0.0798409854;0.17000773106150177;0.2054847099294253;0.30909090909090914;0.8571081843265294;0.5978985941701124;0.4424507891419901
akaze;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;1507.0;743.8;0.08645863733353046;daisy;1507.0;743.8;0.11357034748282677;l2;bf;344.8;411.8;0.14614556480000002;0.4637185231667691;0.6955028930790579;0.22879893828798936;0.7596899340359959;0.40984285833696255;0.33572223987756833
akaze;1507.0;743.8;0.08645863733353046;freak;1507.0;743.8;0.005779672771786279;l2;bf;353.0;439.8;0.0770210044;0.1975612206336675;0.280139889254417;0.23424021234240217;0.7601080612146186;0.4447652901547256;0.34958621236467324
akaze;1507.0;743.8;0.08645863733353046;brief;1507.0;743.8;0.002592687095059538;l2;bf;272.8;432.8;0.0704257568;0.17814633479993172;0.32718990939864306;0.181021897810219;0.596047733908118;0.34728091722018695;0.2735251752276778
akaze;1507.0;743.8;0.08645863733353046;lucid;1507.0;743.8;0.005462915661581004;l2;bf;22.0;297.0;0.08298578879999999;0.3022756551619571;3.9259081963547353;0.014598540145985401;0.07680183242399165;0.030744410795099413;0.02421814637635219
akaze;1507.0;743.8;0.08645863733353046;latch;1507.0;743.8;0.0016669592527494923;l2;bf;116.0;479.6;0.0663152392;0.14471956633157013;0.8000476227864907;0.07697412076974121;0.2246679478843409;0.1446559823630304;0.11375777509296765
