k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;sift;5580.0;6486.0;0.303135077;0.04673682963305581;l2;bf;3246.0;3596.0;1.172008077;1.649900769;0.4588155642380423;0.5082873595194085;0.5817204301075268;0.9026696329254728;0.5817204301075268;0.7074978204010461;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;brisk;5310.0;6196.0;0.059684847;0.009632802937378955;l2;bf;2550.0;2806.0;1.151435385;1.3858778470000002;0.49389802102637215;0.5434815086274511;0.45698924731182794;0.9087669280114041;0.45698924731182794;0.6081564512282375;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;daisy;5580.0;6486.0;0.155159693;0.02392224683934628;l2;bf;3170.0;3223.0;1.917027308;2.246944616;0.6971593596028545;0.7088153362776025;0.568100358422939;0.9835556934533044;0.568100358422939;0.7202090196523913;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;freak;5104.0;5949.0;0.054269231;0.009122412338208104;l2;bf;2023.0;2348.0;1.044276693;1.273303539;0.5422928189948892;0.6294135140879881;0.3625448028673835;0.8615843270868825;0.3625448028673835;0.510343087790111;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;brief;4934.0;5775.0;0.011209923;0.0019411122077922077;l2;bf;1783.0;2634.0;0.393286154;0.579253692;0.2199140820045558;0.3248758788558609;0.3195340501792115;0.6769172361427487;0.3195340501792115;0.43413683954224497;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;lucid;5580.0;6486.0;0.02422923;0.003735619796484736;l2;bf;1410.0;2344.0;2.844040078;3.0430269229999998;1.2982196770477816;2.158175122695035;0.25268817204301075;0.6015358361774744;0.25268817204301075;0.3558808682483594;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;latch;5018.0;5865.0;0.006069846;0.001034926854219949;l2;bf;586.0;2678.0;0.098024616;0.278852077;0.10412698917102314;0.4758567866894198;0.10501792114695341;0.21882001493651979;0.10501792114695341;0.14192298377331072;nan;nan;nan
0;sift;5580.0;6486.0;0.174757615;0.02694381976564909;vgg;5580.0;6486.0;4.925832615;0.7594561540240518;l2;bf;3251.0;3633.0;0.509712923;5.610303153;1.544261809248555;1.7257161344201786;0.5826164874551971;0.8948527387833746;0.5826164874551971;0.7057418864647781;nan;nan;nan
