k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;sift;2072.0;2044.0;0.284444062;0.1391605;l2;bf;1963.0;1964.0;0.163423282;0.74564224;0.3796549083503055;0.3798483138053999;0.9473938223938224;0.9994908350305499;0.9603718199608611;0.9727452923686819;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;brisk;1920.0;1886.0;0.028993386;0.015372951219512196;l2;bf;1531.0;1532.0;0.147274584;0.474042866;0.3094274582245431;0.3096295662965382;0.7388996138996139;0.9993472584856397;0.7490215264187867;0.8496115427302996;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;daisy;2072.0;2044.0;0.280977917;0.13746473434442272;l2;bf;0.0;1648.0;11.233070881;11.811823694;7.167368746359223;0.0;0.0;0.0;0.0;0.0;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;freak;1832.0;1803.0;0.025112656;0.013928261785912367;l2;bf;1452.0;1453.0;0.138083854;0.46097140600000003;0.31725492498279423;0.31747342011019286;0.7007722007722008;0.9993117687543015;0.7103718199608611;0.8238297872340425;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;brief;1773.0;1753.0;0.008098021;0.004619521391899601;l2;bf;1660.0;1661.0;0.090583125;0.396456042;0.23868515472606863;0.23882894096385543;0.8011583011583011;0.9993979530403372;0.812133072407045;0.8893651218858827;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;lucid;2072.0;2044.0;0.014635989;0.0071604642857142865;l2;bf;27.0;469.0;0.407418594;0.719829479;1.5348176524520258;26.660351074074075;0.013030888030888031;0.057569296375266525;0.013209393346379647;0.021251475796930343;nan;nan;nan
0;sift;2072.0;2044.0;0.297774896;0.14568243444227005;latch;1808.0;1779.0;0.004935208;0.0027741472737492973;l2;bf;1523.0;1548.0;0.036408437;0.33911854100000005;0.21906882493540056;0.22266483322390024;0.73503861003861;0.9838501291989664;0.7451076320939335;0.8414364640883979;nan;nan;nan
