k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Match Rate;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;sift;5094.0;5165.0;0.152325357;0.029491840658276862;L2;BF;95.28135990621337;3251.0;3412.0;0.062515252;0.382935809;0.11223206594372802;0.11779015964318672;0.638201806046329;0.9528135990621337;0.638201806046329;0.7644015988713849
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;brisk;4734.0;5138.0;0.041978841;0.008170268781627093;L2;BF;8.60215053763441;256.0;2976.0;0.108378839;0.31845288;0.10700701612903225;1.2439565625;0.0502552021986651;0.08602150537634409;0.0502552021986651;0.0634448574969021
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;daisy;5094.0;5165.0;0.144908776;0.028055910164569212;L2;BF;96.95205479452055;2831.0;2920.0;0.094564962;0.40756893799999994;0.13957840342465752;0.14396642105263155;0.5557518649391441;0.9695205479452055;0.5557518649391441;0.7065136011979036
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;freak;4442.0;5094.0;0.027348883;0.005368842363564978;L2;BF;6.663941128372854;163.0;2446.0;0.10312595;0.29857003299999996;0.1220646087489779;1.8317179938650305;0.031998429524931295;0.06663941128372854;0.031998429524931295;0.04323607427055703
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;brief;4334.0;5096.0;0.012458605;0.002444781200941915;L2;BF;4.21505376344086;98.0;2325.0;0.043152698;0.223706503;0.09621785075268818;2.2827194183673467;0.019238319591676482;0.042150537634408604;0.019238319591676482;0.026418654805229817
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;lucid;5094.0;5165.0;0.020062435;0.0038843049370764758;L2;BF;70.45916294189354;1734.0;2461.0;0.255671806;0.443829441;0.18034516091019911;0.25595700173010383;0.3404004711425206;0.7045916294189354;0.3404004711425206;0.45903375248180006
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;latch;4377.0;5107.0;0.005450349;0.0010672310554141376;L2;BF;2.628177509694097;61.0;2321.0;0.024538576;0.198084125;0.08534430202498923;3.247280737704918;0.011974872398900667;0.026281775096940973;0.011974872398900667;0.016453135536075525
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;vgg;5094.0;5165.0;0.295269412;0.05716735953533398;L2;BF;92.89747399702823;3126.0;3365.0;0.045766324;0.509130936;0.15130191263001486;0.16286978119001919;0.6136631330977621;0.9289747399702823;0.6136631330977621;0.73909445560941
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;beblid;5094.0;5165.0;0.006732392;0.0013034640851887706;L2;BF;83.44021124104111;2212.0;2651.0;0.136806475;0.311634067;0.11755340135797812;0.14088339376130202;0.4342363564978406;0.8344021124104112;0.4342363564978406;0.5712072304712719
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;teblid;5094.0;5165.0;0.003290363;0.0006370499515972895;L2;BF;55.934515688949524;1230.0;2199.0;0.072255084;0.243640647;0.11079611050477489;0.19808182682926828;0.2414605418138987;0.5593451568894953;0.2414605418138987;0.33730974907445493
0;sift;5094.0;5165.0;0.1680952;0.032545053242981604;boost;5094.0;5165.0;0.046605329;0.009023296999031946;L2;BF;85.27524484971293;2525.0;2961.0;0.06721108;0.281911609;0.09520824349881797;0.11164816198019803;0.4956811935610522;0.8527524484971294;0.4956811935610522;0.6269397889509621
0;akaze;2598.0;3584.0;0.121938868;0.03402312165178571;sift;2598.0;3584.0;0.049499955;0.013811371372767858;L2;BF;99.30615784908933;2290.0;2306.0;0.028710884;0.200149707;0.08679518950563747;0.08740161877729259;0.8814472671285605;0.9930615784908933;0.8814472671285605;0.9339314845024471
0;akaze;2598.0;3584.0;0.121938868;0.03402312165178571;akaze;2598.0;3584.0;0.094582758;0.02639027845982143;L2;BF;98.01174875734297;2169.0;2213.0;0.043791085;0.26031271100000003;0.11762887980117488;0.12001508114338406;0.8348729792147807;0.9801174875734298;0.8348729792147807;0.9016836416545417
0;akaze;2598.0;3584.0;0.121938868;0.03402312165178571;orb;2590.0;3579.0;0.0103532;0.002892763341715563;L2;BF;4.956268221574344;85.0;1715.0;0.036965075;0.169257143;0.09869221166180758;1.991260505882353;0.032717474980754425;0.04956268221574344;0.032717474980754425;0.039415719916531415
0;akaze;2598.0;3584.0;0.121938868;0.03402312165178571;brisk;2598.0;3584.0;0.0314379;0.008771735491071428;L2;BF;99.16776171703899;2264.0;2283.0;0.049159409;0.20253617699999998;0.08871492641261497;0.08945944213780918;0.8714395688991532;0.9916776171703898;0.8714395688991532;0.9276787543536161
0;akaze;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
