Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time;Efficiency
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;brief;2203.2285714285713;2194.8285714285716;0.0023845437539577337;ham;flann;646.8857142857142;843.9428571428572;0.14364900171428568;0.17162929351999245;0.22622934712650222;0.29479579182269805;0.7644240000430168;0.302478658295221;0.4249478779381587;0.5176650460194002;5072.0;6.833898538;0.5645624034014995
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;lucid;2203.2285714285713;2194.8285714285716;0.004370603330422813;ham;flann;101.94285714285714;822.7714285714286;0.16569899462857143;0.20181213211841403;2.1451611958731656;0.04612541960094821;0.12286437424207688;0.047247955507527646;0.06701405331264983;1.0081296891114906;1.0;2.2753222660000003;0.2751312314555927
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;latch;2203.2285714285713;2194.8285714285716;0.0014498872870247934;ham;flann;46.77142857142857;889.2;0.09498298685714286;0.1079286346444055;2.3643015995003;0.021404846717255555;0.0532527937117867;0.022044354585127834;0.030524572644602024;nan;nan;nan;nan
akaze;nan;nan;nan;vgg;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;beblid;2203.2285714285713;2194.8285714285716;0.0015381610780055538;ham;flann;838.2857142857143;946.7428571428571;0.12454772557142856;0.13245636079372397;0.1504283005783757;0.3829703721380675;0.884056711172234;0.3930442687827095;0.5333334170522577;0.5689947116286709;6500.0;11.015127571999999;0.6008492205554297
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;teblid;2203.2285714285713;2194.8285714285716;0.000796247336556537;ham;flann;895.6285714285714;1028.142857142857;0.11502110337142857;0.11252550783201003;0.12987207227433784;0.4092513351336994;0.8701262597432979;0.41994210339311483;0.5556877841431552;0.5856288573515117;6990.0;11.582108221999999;0.6093606338737885
akaze;2203.2285714285713;2194.8285714285716;0.03300743125949812;boost;2203.2285714285713;2194.8285714285716;0.009837600642202285;ham;flann;894.0;1022.1142857142858;0.13585185254285717;0.13346745735515222;0.15323423764994967;0.40823318941329095;0.8740183806751218;0.41887647221688457;0.5556924033562263;0.5923146136928612;6946.0;11.857939376;0.5982339333416642
orb;nan;nan;nan;sift;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;19610.97142857143;19566.6;0.0010627889488181545;orb;19610.97142857143;19566.6;0.00154593392186247;ham;flann;4918.114285714286;6515.6;1.2747693079428575;0.1960932539859064;0.2633356816392479;0.252392978121659;0.7547103440939101;0.25708645574081884;0.3778036153836905;0.6852554035754997;37183.0;51.376998664;0.6355617669435165
orb;19610.97142857143;19566.6;0.0010627889488181545;brisk;17425.0;17392.114285714284;0.00877089379531395;ham;flann;296.54285714285714;6485.657142857143;3.5076750990571433;0.5462808083827639;14.202360031941923;0.015247431943387282;0.04490624018338686;0.015499853386774893;0.022724628922831985;2.1391010445951455;40.0;33.848305937000006;0.26636203899112576
orb;nan;nan;nan;kaze;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;nan;nan;nan;daisy;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;19610.97142857143;19566.6;0.0010627889488181545;freak;13192.257142857143;13193.0;0.0063667581752772165;ham;flann;180.71428571428572;4602.628571428571;2.8866739569714284;0.6343253070660946;18.35022367308388;0.00926616777417688;0.03863967369005303;0.009438905498563459;0.01490996827865296;1.001709591328675;117.0;14.148647284999997;0.29283527341223037
orb;19610.97142857143;19566.6;0.0010627889488181545;brief;19610.97142857143;19566.6;0.0018843908495026842;ham;flann;3350.9714285714285;5125.542857142857;4.5336712301999995;0.8955140670955672;1.3967008135656724;0.17191094218821942;0.6525311754612814;0.17506944308243907;0.27173521193304695;0.6757604170191789;22604.0;31.304886894;0.5720451711260809
orb;19610.97142857143;19566.6;0.0010627889488181545;lucid;19610.97142857143;19566.6;0.0034968771520272456;ham;flann;723.3714285714286;5853.857142857143;5.471845033314286;0.9325592455348005;9.82182259918243;0.03728675558317186;0.1224992439887198;0.03785841193531212;0.057137056516523246;0.854110466768671;186.0;0.8604737339999999;0.36680740179440546
orb;19610.97142857143;19566.6;0.0010627889488181545;latch;19610.97142857143;19566.6;0.0008066032758768681;ham;flann;180.94285714285715;6709.857142857143;0.23861277245714285;0.03580701823875056;1.3560712307403715;0.009226373663327191;0.026877572348903752;0.009394776307455084;0.013712832448464763;1.328493085921495;79.0;0.46169217900000004;0.35600163673289054
orb;nan;nan;nan;vgg;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;19610.97142857143;19566.6;0.0010627889488181545;beblid;19610.97142857143;19566.6;0.0007732104245032361;ham;flann;5693.028571428571;6930.771428571428;1.7547960840857144;0.2545599654320043;0.3160453386130681;0.2920005081776592;0.8182018992514614;0.2974519678948206;0.4294689661620012;1.076225978005177;42969.0;71.682956953;0.6435371494400828
orb;19610.97142857143;19566.6;0.0010627889488181545;teblid;19610.97142857143;19566.6;0.0003833052962030789;ham;flann;5498.714285714285;6860.028571428571;1.2266689507714286;0.1801261973226437;0.22938031739433054;0.28203785061799364;0.7986264551540252;0.2873051236468109;0.4160393645796158;1.0875751871463837;41725.0;69.53176034599998;0.6442089396000957
orb;19610.97142857143;19566.6;0.0010627889488181545;boost;19610.97142857143;19566.6;0.009326822641857245;ham;flann;4028.5714285714284;5916.857142857143;1.8373150208571434;0.31230702157697987;0.475275205121324;0.2070058725598513;0.6769925235484151;0.21093077902641003;0.3165238587657854;1.112412785047373;27492.0;46.762285363000004;0.5816589829670223
brisk;nan;nan;nan;sift;nan;nan;nan;ham;flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
