k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;sift;2669.0;3066.0;0.190843334;0.06224505348988911;L2;BF;1122.0;1401.0;0.243720208;0.5990364589999999;0.42757777230549604;0.5339005873440285;0.42038216560509556;0.8008565310492506;0.42038216560509556;0.5513513513513513;nan;
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;brisk;2508.0;2907.0;0.028504323;0.00980540866873065;L2;BF;51.0;949.0;0.209965052;0.402942292;0.42459672497365647;7.900829254901961;0.01910828025477707;0.05374077976817703;0.01910828025477707;0.028192371475953566;nan;
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;daisy;2669.0;3066.0;0.148357604;0.04838799869536856;L2;BF;875.0;1121.0;0.434471094;0.747301615;0.6666383719892953;0.8540589885714286;0.32783814162607716;0.7805530776092774;0.32783814162607716;0.4617414248021108;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;freak;2378.0;2738.0;0.024417709;0.008918082176771366;L2;BF;39.0;838.0;0.195384063;0.384274689;0.4585616813842482;9.853197153846153;0.014612214312476583;0.046539379474940336;0.014612214312476583;0.022241231822070145;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;brief;2297.0;2671.0;0.005446667;0.0020391864470235862;L2;BF;35.0;995.0;0.115542917;0.285462501;0.28689698592964824;8.156071457142858;0.013113525665043087;0.035175879396984924;0.013113525665043087;0.01910480349344978;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;lucid;2669.0;3066.0;0.012642448;0.004123433789954338;L2;BF;170.0;1028.0;0.593272343;0.770387708;0.7494043852140078;4.5316924;0.06369426751592357;0.16536964980544747;0.06369426751592357;0.09196645929131728;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;latch;2350.0;2718.0;0.004109271;0.0015118730684326712;L2;BF;36.0;1227.0;0.039868437;0.208450625;0.1698864099429503;5.790295138888889;0.013488197826901461;0.029339853300733496;0.013488197826901461;0.018480492813141684;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;vgg;2669.0;3066.0;2.131544114;0.6952198675799087;L2;BF;922.0;1349.0;0.122363802;2.418380833;1.7927211512231285;2.6229727039045554;0.34544773323342076;0.6834692364714603;0.34544773323342076;0.45893479342956695;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;beblid;2669.0;3066.0;0.016136719;0.005263117742987607;L2;BF;606.0;1095.0;0.231775938;0.412385574;0.3766078301369863;0.6805042475247524;0.2270513300861746;0.5534246575342465;0.2270513300861746;0.3219978746014877;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;teblid;2669.0;3066.0;0.009206615;0.0030028098499673837;L2;BF;389.0;1146.0;0.133844114;0.307523646;0.26834524083769634;0.7905492185089973;0.14574747096290747;0.3394415357766143;0.14574747096290747;0.20393184796854524;nan;
0;sift;2669.0;3066.0;0.164472917;0.053644134703196344;boost;2669.0;3066.0;0.482213177;0.15727761806914548;L2;BF;643.0;1165.0;0.131302761;0.777988855;0.6678015922746782;1.2099360108864696;0.24091420007493444;0.551931330472103;0.24091420007493444;0.33541992696922274;nan;
0;akaze;2419.0;2725.0;0.101502604;0.03724866201834862;sift;2419.0;2725.0;0.142998802;0.05247662458715596;L2;BF;1349.0;1432.0;0.194121354;0.43862276;0.30630081005586596;0.3251465974796145;0.5576684580405126;0.9420391061452514;0.5576684580405126;0.7005972474681901;nan;
0;akaze;2419.0;2725.0;0.101502604;0.03724866201834862;akaze;2419.0;2725.0;0.101407135;0.03721362752293578;L2;BF;1012.0;1241.0;0.286481354;0.489391093;0.3943522103142627;0.4835880365612648;0.4183546920214965;0.8154713940370669;0.4183546920214965;0.5530054644808743;nan;
0;akaze;2419.0;2725.0;0.101502604;0.03724866201834862;orb;2407.0;2705.0;0.010097969;0.003733075415896488;L2;BF;43.0;944.0;0.111754636;0.223355209;0.236605094279661;5.194307186046512;0.017775940471269118;0.045550847457627115;0.017775940471269118;0.025572405590246802;nan;
0;akaze;2419.0;2725.0;0.101502604;0.03724866201834862;brisk;2419.0;2725.0;0.028222552;0.010356899816513762;L2;BF;783.0;1028.0;0.203265885;0.332991041;0.3239212461089494;0.42527591443167306;0.32368747416287724;0.7616731517509727;0.32368747416287724;0.45430809399477806;nan;
0;akaze;2419.0;2725.0;0.101502604;0.03724866201834862;kaze;2419.0;2725.0;0.31013151;0.11380972844036696;L2;BF;990.0;1062.0;0.108611875;0.520245989;0.48987381261770246;0.525500998989899;0.4092600248036379;0.9322033898305084;0.4092600248036379;0.5688020683711578;nan;
