k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;sift;5580.0;6486.0;0.329327239;0.05077509081097749;L2;BF;nan;3246.0;3596.0;1.500474218;2.051278332;0.5704333515016684;0.631940336414048;0.5817204301075268;0.9026696329254728;0.5817204301075268;0.7074978204010461
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;brisk;5310.0;6196.0;0.080421615;0.012979602162685604;L2;BF;nan;2507.0;2806.0;1.158582239;1.460480729;0.520484935495367;0.5825611204627044;0.4492831541218638;0.8934426229508197;0.4492831541218638;0.5979012640114476
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;daisy;5580.0;6486.0;0.21308;0.03285229725562751;L2;BF;nan;3170.0;3223.0;2.445068801;2.879625676;0.8934612708656531;0.9083992668769715;0.568100358422939;0.9835556934533044;0.568100358422939;0.7202090196523913
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;freak;5104.0;5949.0;0.067738073;0.011386463775424441;L2;BF;nan;1920.0;2348.0;1.077256822;1.36647177;0.5819726448040885;0.7117040468749999;0.34408602150537637;0.817717206132879;0.34408602150537637;0.48435923309788104
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;brief;4934.0;5775.0;0.011996979;0.002077398961038961;L2;BF;nan;1662.0;2634.0;0.621002969;0.8544768229999999;0.3244027422171602;0.5141256456077016;0.2978494623655914;0.6309794988610479;0.2978494623655914;0.40467494521548575
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;lucid;5580.0;6486.0;0.030199635;0.004656126271970398;L2;BF;nan;1410.0;2344.0;3.415108541;3.6667850509999997;1.5643280934300339;2.600556773758865;0.25268817204301075;0.6015358361774744;0.25268817204301075;0.3558808682483594
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;latch;5018.0;5865.0;0.007885;0.0013444160272804773;L2;BF;nan;107.0;2678.0;0.168385573;0.397747448;0.14852406572068708;3.7172658691588785;0.019175627240143368;0.039955190440627335;0.019175627240143368;0.02591426495519496
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;vgg;5580.0;6486.0;6.027949321;0.9293785570459452;L2;BF;nan;3251.0;3633.0;0.734881198;6.984307394;1.9224628114505917;2.1483566268840355;0.5826164874551971;0.8948527387833746;0.5826164874551971;0.7057418864647781
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;beblid;5580.0;6486.0;0.040452448;0.0062368868331791555;L2;BF;nan;1996.0;2735.0;1.314284791;1.5762141139999999;0.5763122903107861;0.7896864298597194;0.35770609318996416;0.7297989031078611;0.35770609318996416;0.48009621166566446
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;teblid;5580.0;6486.0;0.022319479;0.0034411777674992292;L2;BF;nan;1277.0;2631.0;0.80150651;1.045302864;0.39730249486887115;0.8185613657008614;0.22885304659498207;0.4853667806917522;0.22885304659498207;0.31104615759347215
0;sift;5580.0;6486.0;0.221476875;0.034146912580943566;boost;5580.0;6486.0;1.492617552;0.23012913228492138;L2;BF;nan;1329.0;2487.0;0.789273333;2.50336776;1.0065813268998793;1.8836476749435667;0.23817204301075268;0.53437876960193;0.23817204301075268;0.32949051692078835
0;akaze;2228.0;2187.0;0.116364375;0.053207304526748975;sift;2228.0;2187.0;0.150085573;0.06862623365340649;L2;BF;nan;2043.0;2046.0;0.188715156;0.455165104;0.2224658377321603;0.2227925129711209;0.9169658886894075;0.998533724340176;0.934156378600823;0.9560131024801122
0;akaze;2228.0;2187.0;0.116364375;0.053207304526748975;akaze;2228.0;2187.0;0.119605677;0.054689381344307265;L2;BF;nan;1976.0;1976.0;0.286925677;0.522895729;0.2646233446356276;0.2646233446356276;0.8868940754039497;1.0;0.9035208047553727;0.9400570884871551
