Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints
sift;2072.0;2060.25;0.057150458647622776;sift;2072.0;2060.25;0.05289710235078067;L2;BF;1879.5;1883.25;0.243137537625;0.1313714691349928;0.13171202006269397;0.9070945945945945;0.9978442471394596;0.9597632379935334;0.9460036171017339;nan;
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;2072.0;2060.25;0.057150458647622776;brisk;1920.0;1909.25;0.009076158359244479;L2;BF;1303.25;1466.75;0.16287411962499998;0.11299684300844545;0.14077446015369494;0.6289816602316602;0.8689019128618166;0.6537347947699893;0.7272610363884379;nan;
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;2072.0;2060.25;0.057150458647622776;daisy;2072.0;2060.25;0.05792275809839998;L2;BF;1262.375;1486.125;1.203092632;0.7696897517790866;0.18903558616052668;0.6092543436293436;0.8478989633177736;0.6324646791978168;0.6954967149056126;nan;
sift;2072.0;2060.25;0.057150458647622776;freak;1832.0;1822.25;0.005701650369737981;L2;BF;1163.5;1375.625;0.15352224725000002;0.11428048808097109;0.16118106226320933;0.5615347490347491;0.8186315273455145;0.5806351781163415;0.6637741547911568;nan;
sift;2072.0;2060.25;0.057150458647622776;brief;1773.0;1765.5;0.002524127446374649;L2;BF;1303.25;1562.0;0.13573597450000002;0.0890255748007088;0.12779745956092503;0.6289816602316602;0.8065816004218379;0.6510445350648851;0.7040456633780992;nan;
sift;2072.0;2060.25;0.057150458647622776;lucid;2072.0;2060.25;0.004372019347007031;L2;BF;30.125;577.375;0.172505747625;0.30702951539877077;6.049538140652759;0.014539092664092665;0.05226425110766377;0.015468022858243429;0.022595833366104982;nan;
sift;2072.0;2060.25;0.057150458647622776;latch;1808.0;1797.875;0.0014464523482994713;L2;BF;1219.75;1462.375;0.128701610375;0.09145649327227798;0.1327834219448033;0.5886824324324325;0.799609168139245;0.6088829045889566;0.673735485255918;nan;
sift;2072.0;2060.25;0.057150458647622776;vgg;2072.0;2060.25;0.06067889073469676;L2;BF;1872.375;1878.625;0.25354836975;0.13636764539880133;0.13700784129174967;0.903655888030888;0.9960040488664481;0.9553162309908505;0.9431073352511279;nan;
sift;2072.0;2060.25;0.057150458647622776;beblid;2072.0;2060.25;0.0015493853791314807;L2;BF;1869.875;1875.0;0.151517231875;0.08195931815086357;0.08224874065241493;0.9024493243243243;0.9969921846236294;0.9548057256129864;0.9430285632755071;nan;
sift;2072.0;2060.25;0.057150458647622776;teblid;2072.0;2060.25;0.0008782962260228038;L2;BF;1835.625;1846.375;0.13808683962499999;0.07620499355916091;0.07680824738475178;0.8859194015444016;0.9934634234204172;0.9364521277719514;0.9317402141991464;nan;
sift;2072.0;2060.25;0.057150458647622776;boost;2072.0;2060.25;0.012343417714561915;L2;BF;1816.75;1836.25;0.15643475225;0.0870955419832583;0.0885698844823665;0.8768098455598455;0.9867747953132686;0.9245780424303911;0.9232312381785603;nan;
akaze;1288.0;1288.625;0.06836062032638299;sift;1288.0;1288.625;0.024579109280710006;L2;BF;1177.875;1178.125;0.12339054662499999;0.10856170193697484;0.10858133800994779;0.9144992236024845;0.9998033730453286;0.9928743519743986;0.9465910337105412;nan;
akaze;1288.0;1292.6666666666667;0.0652638427234175;akaze;1288.0;1292.6666666666667;0.055595653981527327;L2;BF;1247.6666666666667;1247.8333333333333;0.16858748650000002;0.13585599027952955;0.13587355726070027;0.9686853002070394;0.9998693834900733;0.9940471712166294;0.9831583020625266;nan;
akaze;1288.0;1288.625;0.06836062032638299;orb;1276.0;1277.25;0.004678583870432632;L2;BF;934.375;1138.5;0.101191314375;0.09242219806741597;0.13144767304625463;0.7254464285714286;0.7940317200697343;0.765905322696985;0.7535197224438942;nan;
akaze;1288.0;1288.625;0.06836062032638299;brisk;1288.0;1288.625;0.009491116098438742;L2;BF;1179.25;1179.625;0.11183029462499999;0.0975973737592194;0.09764253921851043;0.9155667701863355;0.9996139116865791;0.9946463334671919;0.9473666657027418;nan;
akaze;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
akaze;1288.0;1288.625;0.06836062032638299;daisy;1288.0;1288.625;0.09595763089987486;L2;BF;1096.625;1105.25;0.21150211575;0.22354706427134066;0.2387682570892139;0.8514169254658385;0.9767651589655844;0.896061680305706;0.8908594484090395;nan;
akaze;1288.0;1288.625;0.06836062032638299;freak;1288.0;1288.625;0.006432882818467409;L2;BF;1151.625;1154.125;0.10829906524999999;0.09734774575413258;0.09763672492872674;0.8941187888198758;0.997485462034662;0.9686762312007551;0.9335944127128949;nan;
akaze;1288.0;1288.625;0.06836062032638299;brief;1288.0;1288.625;0.002890366749849895;L2;BF;1125.0;1129.75;0.09539585275000001;0.08773646031124543;0.08819464886061752;0.8734472049689441;0.9953747502428237;0.9482866244303031;0.9216510608315194;nan;
akaze;1288.0;1288.625;0.06836062032638299;lucid;1288.0;1288.625;0.005244686462029077;L2;BF;28.125;398.0;0.114500887375;0.29877572700294963;4.334102780782181;0.021836180124223604;0.07233028696273;0.023917907242058216;0.03326320308252566;nan;
