Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;5580.0;6004.4;0.013085949313533046;sift;5580.0;6004.4;0.013299529690869621;l2;bf;1912.6;2632.8;0.2248502078;0.09420929041597217;0.17047709622577373;0.34275985663082437;0.6656192768271121;0.3566406366205563;0.4444563945328685
sift;nan;nan;nan;akaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6004.4;0.013085949313533046;brisk;5310.0;5708.2;0.008044015974042945;l2;bf;1146.8;1911.0;0.2432960024;0.13960554691417548;1.254286420266361;0.20551971326164872;0.4815717808625779;0.20657602932638555;0.28554344028110284
sift;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;5580.0;6004.4;0.013085949313533046;daisy;5580.0;6004.4;0.01520673585529483;l2;bf;2167.6;2357.0;0.2743801346;0.1299684020286823;0.148339538442725;0.3884587813620072;0.8979058321957879;0.4132108558051038;0.5276566502157535
sift;5580.0;6004.4;0.013085949313533046;freak;5104.0;5497.6;0.004977214185964287;l2;bf;803.8;1651.6;0.21789039279999994;0.14143372946717991;1.2626760308552065;0.1440501792114695;0.3929321843513599;0.14504643097206898;0.20938018495975416
sift;5580.0;6004.4;0.013085949313533046;brief;4934.0;5340.8;0.002072151962501714;l2;bf;545.6;2170.6;0.1300949006;0.06161455233298559;1.087339131117784;0.09777777777777777;0.21569459654011408;0.09918778186494212;0.13422723249319893
sift;5580.0;6004.4;0.013085949313533046;lucid;5580.0;6004.4;0.0029138447976909073;l2;bf;547.8;1640.8;0.37820993620000004;0.2390319620474038;1.7513509431631888;0.09817204301075269;0.27334102049444764;0.0997177675620479;0.14316499112475128
sift;5580.0;6004.4;0.013085949313533046;latch;5018.0;5426.0;0.0011149559854700254;l2;bf;167.8;2475.2;0.10379308899999999;0.04275886135833086;1.3409181943456872;0.03007168458781362;0.06504058781628416;0.03144126195233852;0.04100345588969408
sift;5580.0;6004.4;0.013085949313533046;vgg;5580.0;6004.4;0.05767873929358328;l2;bf;1863.2;2672.4;0.47977277460000006;0.18922570415036374;0.37702559867733054;0.3339068100358423;0.6268288634999256;0.34460131391210547;0.42891185825480066
sift;5580.0;6004.4;0.013085949313533046;beblid;5580.0;6004.4;0.0013124978894707383;l2;bf;842.0;1946.6;0.277365678;0.14828636765376674;0.7757269547347598;0.15089605734767025;0.3630219343642856;0.1532394790413964;0.2112087986995818
sift;5580.0;6004.4;0.013085949313533046;teblid;5580.0;6004.4;0.000566270269870893;l2;bf;544.6;2085.8;0.1647382926;0.08078154496366644;0.8314419390962555;0.09759856630824373;0.2266409892965504;0.09889424756700313;0.13588711744344595
sift;5580.0;6004.4;0.013085949313533046;boost;5580.0;6004.4;0.010461011981130353;l2;bf;493.4;1945.8;0.21577403679999999;0.11196974753709002;1.7435580693336004;0.08842293906810035;0.21373755871658145;0.08941609601215766;0.12472123430507416
akaze;2228.0;2258.4;0.02496510639474403;sift;2228.0;2258.4;0.010272790678139949;l2;bf;1676.2;1713.8;0.09909456239999999;0.05968457223508663;0.061838890343735894;0.7523339317773788;0.972530515101403;0.7573457085733979;0.8419438087130702
akaze;2228.0;2258.4;0.02496510639474403;akaze;2228.0;2258.4;0.02115922239627057;l2;bf;1500.4;1588.8;0.1306491892;0.08602079111145598;0.09545298890271647;0.6734290843806104;0.928242676747228;0.6779660400814149;0.7728015167882585
akaze;2228.0;2258.4;0.02496510639474403;orb;2217.0;2246.4;0.002580218574672768;l2;bf;686.2;1291.2;0.08662970960000001;0.07396917468002098;0.5581502260656308;0.3079892280071813;0.4430828317687598;0.31112373544345984;0.35914540803013995
akaze;2228.0;2258.4;0.02496510639474403;brisk;2228.0;2258.4;0.00827344893266585;l2;bf;1253.2;1416.2;0.11015205419999999;0.09289225252605435;0.16259566014626375;0.5624775583482944;0.8019508886680438;0.566294290982758;0.6460273807894183
akaze;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;2228.0;2258.4;0.02496510639474403;daisy;2228.0;2258.4;0.03289447236187033;l2;bf;1697.6;1732.6;0.1568802622;0.09453160681093253;0.09766641642544154;0.761938958707361;0.9744715427239111;0.7670278287359396;0.8467055173585404
akaze;2228.0;2258.4;0.02496510639474403;freak;2228.0;2258.4;0.004912930685194075;l2;bf;1067.0;1264.2;0.10290352079999998;0.09249835206059348;0.155650728019979;0.4789048473967684;0.7717641825680541;0.4823928461526263;0.5790363021901269
akaze;2228.0;2258.4;0.02496510639474403;brief;2228.0;2258.4;0.0021103376889897787;l2;bf;844.0;1182.0;0.08286350219999998;0.0733544072542565;0.1488024947482959;0.37881508078994613;0.658554208090886;0.38176928993061326;0.47653638413916327
akaze;2228.0;2258.4;0.02496510639474403;lucid;2228.0;2258.4;0.003431217143186647;l2;bf;655.4;1147.4;0.1197254442;0.11029911916057478;0.8023981691222042;0.294165170556553;0.4878093435215214;0.2968507252870886;0.3636183288493694
akaze;2228.0;2258.4;0.02496510639474403;latch;2228.0;2258.4;0.0011184457689452719;l2;bf;320.8;1166.2;0.0864056182;0.0731524942775192;0.6411480139597974;0.14398563734290845;0.2586557071099447;0.14543987446646306;0.18481986413184093
