k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;sift;2072.0;756.0;0.029223575;0.03865552248677249;L2;BF;558.0;621.0;0.014917077;0.079941469;0.1287302238325282;0.14326428136200717;0.2693050193050193;0.8985507246376812;0.7380952380952381;0.41440772372818424;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;brisk;1920.0;700.0;0.006284072;0.008977245714285714;L2;BF;83.0;314.0;0.019981099;0.062065988;0.1976623821656051;0.7477829879518073;0.04005791505791506;0.2643312101910828;0.10978835978835978;0.06957250628667226;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;daisy;2072.0;756.0;0.033716798;0.044598939153439154;L2;BF;125.0;269.0;0.017163671;0.086681286;0.32223526394052043;0.693450288;0.060328185328185326;0.4646840148698885;0.16534391534391535;0.10679196924391285;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;freak;1832.0;658.0;0.003476865;0.005283989361702128;L2;BF;68.0;262.0;0.014924596;0.054202278;0.2068789236641221;0.7970923235294117;0.032818532818532815;0.2595419847328244;0.08994708994708994;0.058269065981148234;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;brief;1773.0;630.0;0.001454016;0.002307961904761905;L2;BF;23.0;373.0;0.007048809;0.044303642000000004;0.11877652010723862;1.9262453043478263;0.0111003861003861;0.06166219839142091;0.03042328042328042;0.01881390593047035;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;lucid;2072.0;756.0;0.003883693;0.005137160052910053;L2;BF;29.0;412.0;0.026004423;0.065688933;0.1594391577669903;2.265135620689655;0.013996138996138996;0.0703883495145631;0.03835978835978836;0.023349436392914653;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;latch;1808.0;653.0;0.000916969;0.001404240428790199;L2;BF;25.0;480.0;0.005842418;0.042560204;0.08866709166666666;1.7024081599999998;0.012065637065637066;0.052083333333333336;0.03306878306878307;0.019592476489028215;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;vgg;2072.0;756.0;0.045481429;0.060160620370370364;L2;BF;403.0;556.0;0.011352505;0.092634751;0.1666092643884892;0.22986290570719603;0.1944980694980695;0.7248201438848921;0.533068783068783;0.3066971080669711;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;beblid;2072.0;756.0;0.001446873;0.0019138531746031744;L2;BF;431.0;538.0;0.023047646;0.060295336000000005;0.1120731152416357;0.1398963712296984;0.208011583011583;0.8011152416356877;0.5701058201058201;0.33026819923371653;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;teblid;2072.0;756.0;0.000745612;0.0009862592592592594;L2;BF;326.0;510.0;0.015492947;0.052039376;0.10203799215686274;0.15962998773006135;0.15733590733590733;0.6392156862745098;0.4312169312169312;0.2525174283501162;nan;nan;nan
0;sift;2072.0;756.0;0.035800817;0.047355578042328046;boost;2072.0;756.0;0.007508253;0.009931551587301588;L2;BF;431.0;556.0;0.011275494;0.054584564;0.09817367625899281;0.12664632018561484;0.208011583011583;0.7751798561151079;0.5701058201058201;0.3280060882800609;nan;nan;nan
0;akaze;1288.0;475.0;0.026884054;0.056598008421052635;sift;1288.0;475.0;0.008623319;0.018154355789473685;L2;BF;397.0;409.0;0.005117238;0.040624611000000005;0.09932667726161369;0.10232899496221663;0.3082298136645963;0.9706601466992665;0.8357894736842105;0.4678845020624631;nan;nan;nan
0;akaze;1288.0;475.0;0.026884054;0.056598008421052635;akaze;1288.0;475.0;0.020441202;0.04303410947368421;L2;BF;379.0;403.0;0.006644686;0.05396994199999999;0.1339204516129032;0.14240090237467018;0.2942546583850932;0.9404466501240695;0.7978947368421052;0.4482554701360142;nan;nan;nan
0;akaze;1288.0;475.0;0.026884054;0.056598008421052635;orb;1276.0;468.0;0.001686499;0.0036036303418803418;L2;BF;22.0;219.0;0.006088401;0.034658954000000006;0.15826006392694067;1.5754070000000002;0.017080745341614908;0.1004566210045662;0.04631578947368421;0.029197080291970805;nan;nan;nan
0;akaze;1288.0;475.0;0.026884054;0.056598008421052635;brisk;1288.0;475.0;0.004057587;0.00854228842105263;L2;BF;252.0;307.0;0.010577199;0.04151884;0.13524052117263846;0.1647573015873016;0.1956521739130435;0.8208469055374593;0.5305263157894737;0.31598746081504697;nan;nan;nan
0;akaze;1288.0;475.0;0.026884054;0.056598008421052635;kaze;1288.0;475.0;0.091993079;0.19366964;L2;BF;0.0;0.0;0.001758388;0.12063552100000001;0.0;0.0;0.0;0.0;0.0;0.0;nan;nan;nan
