k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;sift;3720.0;3035.0;0.233795469;0.07703310345963757;L2;BF;nan;762.0;1446.0;0.48144875;0.8862988549999999;0.6129314349930843;1.1631218569553805;0.20483870967741935;0.5269709543568465;0.2510708401976936;0.29500580720092917
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;brisk;3522.0;2896.0;0.038281354;0.013218699585635358;L2;BF;nan;35.0;857.0;0.382799375;0.592135365;0.690939749124854;16.918153285714283;0.009408602150537635;0.040840140023337225;0.011532125205930808;0.015293860607384751
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;daisy;3720.0;3035.0;0.154314688;0.05084503723228995;L2;BF;nan;47.0;588.0;0.718658802;1.044028126;1.7755580374149658;22.21336438297872;0.012634408602150538;0.07993197278911565;0.015485996705107084;0.021819870009285054
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;freak;3344.0;2778.0;0.032535;0.011711663066954646;L2;BF;nan;34.0;792.0;0.335408125;0.5389977610000001;0.6805527285353536;15.852875323529414;0.00913978494623656;0.04292929292929293;0.011202635914332784;0.015070921985815602
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;brief;3212.0;2706.0;0.006955469;0.0025703876570583885;L2;BF;nan;40.0;1157.0;0.205943802;0.383953907;0.33185298789974066;9.598847675;0.010752688172043012;0.03457216940363008;0.013179571663920923;0.016403526758253028
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;lucid;3720.0;3035.0;0.0151525;0.004992586490939045;L2;BF;nan;43.0;1093.0;1.064868802;1.2510759379999998;1.1446257438243366;29.09478925581395;0.011559139784946236;0.039341262580054895;0.014168039538714991;0.017868273426137542
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;latch;3265.0;2742.0;0.004754635;0.0017340025528811086;L2;BF;nan;58.0;1463.0;0.064750417;0.24055968800000002;0.16442904169514697;4.147580827586207;0.015591397849462365;0.039644565960355434;0.019110378912685338;0.022380860505498746
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;vgg;3720.0;3035.0;2.871048697;0.9459798013179572;L2;BF;nan;395.0;1263.0;0.195398438;3.237501771;2.563342653206651;8.196207015189872;0.10618279569892473;0.31274742676167855;0.1301482701812191;0.15853903271121814
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;beblid;3720.0;3035.0;0.020329739;0.006698431301482701;L2;BF;nan;332.0;1165.0;0.402107552;0.593491927;0.509435130472103;1.7876262861445782;0.08924731182795699;0.2849785407725322;0.10939044481054366;0.13592630501535313
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;teblid;3720.0;3035.0;0.013546927;0.004463567380560132;L2;BF;nan;178.0;1214.0;0.232457187;0.41705875000000003;0.3435409802306425;2.3430266853932586;0.0478494623655914;0.14662273476112025;0.058649093904448106;0.07215241183623834
0;sift;3720.0;3035.0;0.171054636;0.0563606708401977;boost;3720.0;3035.0;0.649137083;0.21388371762767708;L2;BF;nan;177.0;1139.0;0.233184687;1.053376406;0.9248256417910447;5.951279129943503;0.04758064516129032;0.15539947322212466;0.05831960461285008;0.0728544968100432
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;sift;896.0;873.0;0.084776354;0.09710922565864834;L2;BF;nan;272.0;351.0;0.036804687;0.212449426;0.60526901994302;0.7810640661764706;0.30357142857142855;0.7749287749287749;0.3115693012600229;0.4362469927826784
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;akaze;896.0;873.0;0.092210052;0.10562434364261168;L2;BF;nan;200.0;361.0;0.050354896;0.233433333;0.646629731301939;1.167166665;0.22321428571428573;0.554016620498615;0.2290950744558992;0.3182179793158314
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;orb;892.0;870.0;0.008883907;0.010211387356321839;L2;BF;nan;29.0;305.0;0.02840974;0.12816203199999998;0.42020338360655735;4.419380413793102;0.03236607142857143;0.09508196721311475;0.033218785796105384;0.04829308909242298
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;brisk;896.0;873.0;0.013729688;0.01572701947308133;L2;BF;nan;128.0;290.0;0.046134636;0.150732709;0.5197679620689655;1.1775992890625;0.14285714285714285;0.4413793103448276;0.1466208476517755;0.21585160202360879
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;kaze;896.0;873.0;0.238466823;0.2731578728522337;L2;BF;nan;220.0;264.0;0.022529844;0.351865052;1.3328221666666669;1.5993866;0.24553571428571427;0.8333333333333334;0.2520045819014891;0.3793103448275862
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;daisy;896.0;873.0;0.137713334;0.15774723253150055;L2;BF;nan;39.0;181.0;0.05963651;0.288218229;1.592365906077348;7.390211;0.04352678571428571;0.2154696132596685;0.044673539518900345;0.07242339832869081
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;freak;896.0;873.0;0.012066198;0.01382153264604811;L2;BF;nan;102.0;297.0;0.044383958;0.147318541;0.49602202356902353;1.4442994215686276;0.11383928571428571;0.3434343434343434;0.11683848797250859;0.17099748533109807
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;brief;896.0;873.0;0.004084635;0.004678848797250858;L2;BF;nan;48.0;310.0;0.029762916;0.124715936;0.4023094709677419;2.5982486666666667;0.05357142857142857;0.15483870967741936;0.054982817869415807;0.07960199004975123
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;lucid;896.0;873.0;0.006932136;0.007940591065292097;L2;BF;nan;19.0;333.0;0.086855209;0.18465573000000002;0.5545217117117118;9.718722631578949;0.021205357142857144;0.057057057057057055;0.021764032073310423;0.030919446704637917
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;latch;896.0;873.0;0.002697552;0.003089979381443299;L2;BF;nan;29.0;438.0;0.01320875;0.10677468700000001;0.24377782420091326;3.68188575862069;0.03236607142857143;0.06621004566210045;0.033218785796105384;0.04347826086956522
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;vgg;896.0;873.0;0.848638333;0.9720943104238259;L2;BF;nan;251.0;388.0;0.020349792;0.95985651;2.4738569845360825;3.824129521912351;0.28013392857142855;0.6469072164948454;0.28751431844215347;0.3909657320872274
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;beblid;896.0;873.0;0.007067188;0.008095289805269187;L2;BF;nan;149.0;323.0;0.040577187;0.13851276;0.42883207430340564;0.9296158389261746;0.16629464285714285;0.4613003095975232;0.1706758304696449;0.24446267432321575
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;teblid;896.0;873.0;0.006185365;0.007085183276059564;L2;BF;nan;80.0;325.0;0.030713385;0.127767135;0.39312964615384616;1.5970891875;0.08928571428571429;0.24615384615384617;0.09163802978235967;0.13104013104013104
0;akaze;896.0;873.0;0.090868385;0.10408749713631156;boost;896.0;873.0;0.208941927;0.2393378316151203;L2;BF;nan;98.0;316.0;0.022935834;0.32274614599999996;1.021348563291139;3.293328020408163;0.109375;0.310126582278481;0.11225658648339061;0.16171617161716173
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;sift;8973.0;7362.0;3.352075207;0.45532127234447156;L2;BF;nan;790.0;1338.0;2.81119651;6.180973175;4.619561416292974;7.82401667721519;0.0880419034882425;0.5904334828101644;0.10730779679434936;0.15323440985355447
0;orb;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;orb;8973.0;7362.0;0.023737084;0.0032242711219777234;L2;BF;nan;819.0;2854.0;1.291215416;1.332653958;0.4669425220742817;1.62717210989011;0.09127382146439318;0.2869656622284513;0.11124694376528117;0.13849666018432402
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;brisk;7385.0;6392.0;0.096714896;0.01513061576971214;L2;BF;nan;104.0;2307.0;1.655257135;1.769673489;0.7670886384915475;17.016091240384615;0.011590326535161039;0.045080190723883834;0.014126596033686498;0.018439716312056736
0;orb;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;daisy;8973.0;7362.0;0.185629167;0.025214502444987776;L2;BF;nan;47.0;998.0;4.495823644;4.699154269;4.708571411823647;99.98200572340426;0.005237936030313162;0.047094188376753505;0.006384134745992936;0.00942733928392338
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;freak;4677.0;4104.0;0.059648281;0.014534181530214425;L2;BF;nan;47.0;1155.0;0.683683385;0.761033124;0.6589031376623377;16.192194127659572;0.005237936030313162;0.04069264069264069;0.006384134745992936;0.009281200631911533
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;brief;8973.0;7362.0;0.017488542;0.002375515077424613;L2;BF;nan;102.0;2809.0;1.389129999;1.424319999;0.5070558914204343;13.963921558823529;0.011367435640254095;0.03631185475258099;0.013854930725346373;0.01731454761500594
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;lucid;8973.0;7362.0;0.034692812;0.004712416734582994;L2;BF;nan;101.0;2448.0;6.156452497;6.208846767;2.5362936139705883;61.47373036633663;0.011255990192800625;0.04125816993464052;0.01371909807117631;0.01768671745031083
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;latch;8973.0;7362.0;0.00914323;0.0012419491985873406;L2;BF;nan;137.0;3812.0;0.345387812;0.3722325;0.09764756033578174;2.7170255474452554;0.015268026301125599;0.035939139559286466;0.01860907362129856;0.021431364880719592
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;vgg;8973.0;7362.0;7.637626299;1.0374390517522412;L2;BF;nan;96.0;1269.0;1.146073698;8.801401455;6.9356985460992915;91.68126515625;0.010698762955533266;0.07565011820330969;0.013039934800325998;0.018746338605741066
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;beblid;8973.0;7362.0;0.091963958;0.012491708503124152;L2;BF;nan;1333.0;2754.0;2.332350312;2.442015728;0.8867159506172839;1.8319697884471118;0.14855678145547754;0.4840232389251997;0.18106492800869328;0.22733862027799095
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;teblid;8973.0;7362.0;0.048257135;0.006554894729693018;L2;BF;nan;732.0;2968.0;1.291090572;1.357049165;0.4572268076145553;1.8538923019125684;0.08157806753594116;0.24663072776280323;0.09942950285248574;0.12260279708567123
0;orb;8973.0;7362.0;0.017701458;0.002404436022819886;boost;8973.0;7362.0;1.759240416;0.23896229502852484;L2;BF;nan;320.0;2357.0;1.275271979;3.0522138529999996;1.2949570865506999;9.538168290625;0.03566254318511089;0.1357658039881205;0.043466449334419996;0.05648720211827008
0;brisk;2239.0;1487.0;0.0525425;0.0353345662407532;sift;2239.0;1487.0;0.184517604;0.12408715803631475;L2;BF;nan;272.0;432.0;0.122995208;0.36005531199999996;0.8334613703703703;1.323732764705882;0.12148280482358195;0.6296296296296297;0.18291862811028917;0.20366903781355297
0;brisk;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;brisk;2239.0;1487.0;0.0525425;0.0353345662407532;orb;2172.0;1460.0;0.0120175;0.008231164383561645;L2;BF;nan;33.0;620.0;0.081258229;0.14581822900000002;0.2351906919354839;4.418734212121213;0.014738722644037517;0.0532258064516129;0.02219233355749832;0.023084994753410287
