k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;sift;3382.0;1746.0;0.273843906;0.15684072508591065;L2;BF;824.0;1040.0;0.2360775;0.783839427;0.7536917567307692;0.9512614405339805;0.2436428149024246;0.7923076923076923;0.47193585337915234;0.37268204432383534;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;brisk;3248.0;1708.0;0.026464688;0.015494548009367682;L2;BF;430.0;865.0;0.21068724;0.511069949;0.590832310982659;1.1885347651162792;0.12714370195150798;0.49710982658959535;0.24627720504009165;0.20249587944431363;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;daisy;3382.0;1746.0;0.247200677;0.14158114375715922;L2;BF;410.0;575.0;0.376730989;0.897849687;1.5614777165217393;2.1898772853658537;0.12123004139562389;0.7130434782608696;0.23482245131729668;0.20722769775082134;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;freak;3114.0;1678.0;0.023324688;0.013900290822407629;L2;BF;209.0;762.0;0.2008875;0.498130209;0.6537141850393701;2.383398129186603;0.06179775280898876;0.2742782152230971;0.11970217640320734;0.10086872586872588;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;brief;3041.0;1675.0;0.006701198;0.004000715223880597;L2;BF;96.0;941.0;0.129719844;0.410339063;0.43606701700318806;4.274365239583334;0.028385570668243643;0.10201912858660998;0.054982817869415807;0.04441360166551006;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;lucid;3382.0;1746.0;0.013389791;0.0076688379152348215;L2;BF;374.0;882.0;0.567849948;0.85515776;0.9695666213151927;2.28651807486631;0.11058545239503252;0.42403628117913833;0.21420389461626574;0.175422138836773;nan;nan;nan
0;sift;3382.0;1746.0;0.273918021;0.15688317353951892;latch;3084.0;1685.0;0.003949428;0.0023438741839762606;L2;BF;48.0;1074.0;0.038475677;0.316343126;0.2945466722532588;6.590481791666666;0.014192785334121822;0.0446927374301676;0.027491408934707903;0.02154398563734291;nan;nan;nan
